scenario_id,industry,erp_system,product,e2e_scenario_name,business_description,modules,data_sources,priority,test_type,auto_feasibility,integration_hint
PH-SAP-015,Pharma,SAP S/4HANA,SAP Pharma Process 15,Pharma E2E #15: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-016,Pharma,SAP S/4HANA,SAP Pharma Process 16,Pharma E2E #16: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-017,Pharma,SAP S/4HANA,SAP Pharma Process 17,Pharma E2E #17: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-018,Pharma,SAP S/4HANA,SAP Pharma Process 18,Pharma E2E #18: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-019,Pharma,SAP S/4HANA,SAP Pharma Process 19,Pharma E2E #19: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-020,Pharma,SAP S/4HANA,SAP Pharma Process 20,Pharma E2E #20: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-021,Pharma,SAP S/4HANA,SAP Pharma Process 21,Pharma E2E #21: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-022,Pharma,SAP S/4HANA,SAP Pharma Process 22,Pharma E2E #22: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-023,Pharma,SAP S/4HANA,SAP Pharma Process 23,Pharma E2E #23: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-024,Pharma,SAP S/4HANA,SAP Pharma Process 24,Pharma E2E #24: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-025,Pharma,SAP S/4HANA,SAP Pharma Process 25,Pharma E2E #25: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-026,Pharma,SAP S/4HANA,SAP Pharma Process 26,Pharma E2E #26: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-027,Pharma,SAP S/4HANA,SAP Pharma Process 27,Pharma E2E #27: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-028,Pharma,SAP S/4HANA,SAP Pharma Process 28,Pharma E2E #28: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-029,Pharma,SAP S/4HANA,SAP Pharma Process 29,Pharma E2E #29: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-030,Pharma,SAP S/4HANA,SAP Pharma Process 30,Pharma E2E #30: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-031,Pharma,SAP S/4HANA,SAP Pharma Process 31,Pharma E2E #31: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-032,Pharma,SAP S/4HANA,SAP Pharma Process 32,Pharma E2E #32: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-033,Pharma,SAP S/4HANA,SAP Pharma Process 33,Pharma E2E #33: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-034,Pharma,SAP S/4HANA,SAP Pharma Process 34,Pharma E2E #34: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-035,Pharma,SAP S/4HANA,SAP Pharma Process 35,Pharma E2E #35: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-036,Pharma,SAP S/4HANA,SAP Pharma Process 36,Pharma E2E #36: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-037,Pharma,SAP S/4HANA,SAP Pharma Process 37,Pharma E2E #37: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-038,Pharma,SAP S/4HANA,SAP Pharma Process 38,Pharma E2E #38: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-039,Pharma,SAP S/4HANA,SAP Pharma Process 39,Pharma E2E #39: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-040,Pharma,SAP S/4HANA,SAP Pharma Process 40,Pharma E2E #40: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-041,Pharma,SAP S/4HANA,SAP Pharma Process 41,Pharma E2E #41: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-042,Pharma,SAP S/4HANA,SAP Pharma Process 42,Pharma E2E #42: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-043,Pharma,SAP S/4HANA,SAP Pharma Process 43,Pharma E2E #43: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-044,Pharma,SAP S/4HANA,SAP Pharma Process 44,Pharma E2E #44: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-045,Pharma,SAP S/4HANA,SAP Pharma Process 45,Pharma E2E #45: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-046,Pharma,SAP S/4HANA,SAP Pharma Process 46,Pharma E2E #46: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-047,Pharma,SAP S/4HANA,SAP Pharma Process 47,Pharma E2E #47: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-048,Pharma,SAP S/4HANA,SAP Pharma Process 48,Pharma E2E #48: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-049,Pharma,SAP S/4HANA,SAP Pharma Process 49,Pharma E2E #49: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-050,Pharma,SAP S/4HANA,SAP Pharma Process 50,Pharma E2E #50: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-051,Pharma,SAP S/4HANA,SAP Pharma Process 51,Pharma E2E #51: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-052,Pharma,SAP S/4HANA,SAP Pharma Process 52,Pharma E2E #52: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-053,Pharma,SAP S/4HANA,SAP Pharma Process 53,Pharma E2E #53: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-054,Pharma,SAP S/4HANA,SAP Pharma Process 54,Pharma E2E #54: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-055,Pharma,SAP S/4HANA,SAP Pharma Process 55,Pharma E2E #55: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-056,Pharma,SAP S/4HANA,SAP Pharma Process 56,Pharma E2E #56: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-057,Pharma,SAP S/4HANA,SAP Pharma Process 57,Pharma E2E #57: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-058,Pharma,SAP S/4HANA,SAP Pharma Process 58,Pharma E2E #58: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-059,Pharma,SAP S/4HANA,SAP Pharma Process 59,Pharma E2E #59: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-060,Pharma,SAP S/4HANA,SAP Pharma Process 60,Pharma E2E #60: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-061,Pharma,SAP S/4HANA,SAP Pharma Process 61,Pharma E2E #61: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-062,Pharma,SAP S/4HANA,SAP Pharma Process 62,Pharma E2E #62: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-063,Pharma,SAP S/4HANA,SAP Pharma Process 63,Pharma E2E #63: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-064,Pharma,SAP S/4HANA,SAP Pharma Process 64,Pharma E2E #64: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-065,Pharma,SAP S/4HANA,SAP Pharma Process 65,Pharma E2E #65: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-066,Pharma,SAP S/4HANA,SAP Pharma Process 66,Pharma E2E #66: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-067,Pharma,SAP S/4HANA,SAP Pharma Process 67,Pharma E2E #67: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-068,Pharma,SAP S/4HANA,SAP Pharma Process 68,Pharma E2E #68: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-069,Pharma,SAP S/4HANA,SAP Pharma Process 69,Pharma E2E #69: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-070,Pharma,SAP S/4HANA,SAP Pharma Process 70,Pharma E2E #70: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-071,Pharma,SAP S/4HANA,SAP Pharma Process 71,Pharma E2E #71: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-072,Pharma,SAP S/4HANA,SAP Pharma Process 72,Pharma E2E #72: Drug Lifecycle Stage 2,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
