Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-SA-00011,Sales,Lead,Manufacturing,Account -> Contact -> Opp -> Close Won,Mobile,Export Manufacturing Sales Lead,User has Sales access and Manufacturing data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Export and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Integration
SF-SA-00012,Sales,Lead,Manufacturing,Account -> Contact -> Opp -> Close Won,Integration,Submit Manufacturing Sales Lead,User has Sales access and Manufacturing data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Submit and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,Integration
SF-SA-00013,Sales,Lead,Retail,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Functional,Update Retail Sales Lead,User has Sales access and Retail data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Update and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Medium,Mobile
SF-SA-00014,Sales,Lead,Retail,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Security,Sync Retail Sales Lead,User has Sales access and Retail data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Sync and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Medium,Mobile
SF-SA-00015,Sales,Lead,Retail,Campaign -> Lead -> Conversion -> Opp -> Revenue,Functional,Bulk Edit Retail Sales Lead,User has Sales access and Retail data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Bulk Edit and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Regression
SF-SA-00016,Sales,Lead,Retail,Campaign -> Lead -> Conversion -> Opp -> Revenue,Functional,Reject Retail Sales Lead,User has Sales access and Retail data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Reject and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,UI
SF-SA-00017,Sales,Lead,Retail,Account -> Contact -> Opp -> Close Won,Mobile,Approve Retail Sales Lead,User has Sales access and Retail data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Approve and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,Mobile
SF-SA-00018,Sales,Lead,Retail,Account -> Contact -> Opp -> Close Won,Security,Bulk Edit Retail Sales Lead,User has Sales access and Retail data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Bulk Edit and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,Security
SF-SA-00019,Sales,Lead,Insurance,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Security,Bulk Edit Insurance Sales Lead,User has Sales access and Insurance data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Bulk Edit and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Low,Accessibility
SF-SA-00020,Sales,Lead,Insurance,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Integration,Create Insurance Sales Lead,User has Sales access and Insurance data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Create and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Functional
SF-SA-00021,Sales,Lead,Insurance,Campaign -> Lead -> Conversion -> Opp -> Revenue,Accessibility,Close Insurance Sales Lead,User has Sales access and Insurance data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Close and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Mobile
SF-SA-00022,Sales,Lead,Insurance,Campaign -> Lead -> Conversion -> Opp -> Revenue,Integration,Update Insurance Sales Lead,User has Sales access and Insurance data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Update and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,High,Integration
SF-SA-00023,Sales,Lead,Insurance,Account -> Contact -> Opp -> Close Won,Functional,Archive Insurance Sales Lead,User has Sales access and Insurance data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Archive and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Performance
SF-SA-00024,Sales,Lead,Insurance,Account -> Contact -> Opp -> Close Won,Regression,Close Insurance Sales Lead,User has Sales access and Insurance data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Close and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,UI
SF-SA-00025,Sales,Lead,Education,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Accessibility,Approve Education Sales Lead,User has Sales access and Education data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Approve and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Accessibility
SF-SA-00026,Sales,Lead,Education,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Mobile,Sync Education Sales Lead,User has Sales access and Education data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Sync and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Mobile
SF-SA-00027,Sales,Lead,Education,Campaign -> Lead -> Conversion -> Opp -> Revenue,Accessibility,Approve Education Sales Lead,User has Sales access and Education data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Approve and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,High,Accessibility
SF-SA-00028,Sales,Lead,Education,Campaign -> Lead -> Conversion -> Opp -> Revenue,Functional,Restore Education Sales Lead,User has Sales access and Education data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Restore and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,Mobile
SF-SA-00029,Sales,Lead,Education,Account -> Contact -> Opp -> Close Won,Regression,Update Education Sales Lead,User has Sales access and Education data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Update and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Low,Mobile
SF-SA-00030,Sales,Lead,Education,Account -> Contact -> Opp -> Close Won,Mobile,Export Education Sales Lead,User has Sales access and Education data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Export and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,UI
SF-SA-00031,Sales,Lead,Healthcare,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,UI,Create Healthcare Sales Lead,User has Sales access and Healthcare data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Create and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Medium,Regression
SF-SA-00032,Sales,Lead,Healthcare,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,UI,Validate Healthcare Sales Lead,User has Sales access and Healthcare data is configured,"1. Navigate to Lead.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Validate and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Performance
SF-SA-00033,Sales,Lead,Healthcare,Campaign -> Lead -> Conversion -> Opp -> Revenue,Integration,Reassign Healthcare Sales Lead,User has Sales access and Healthcare data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Reassign and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,UI
SF-SA-00034,Sales,Lead,Healthcare,Campaign -> Lead -> Conversion -> Opp -> Revenue,UI,Archive Healthcare Sales Lead,User has Sales access and Healthcare data is configured,"1. Navigate to Lead.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Archive and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,High,Accessibility
SF-SA-00035,Sales,Lead,Healthcare,Account -> Contact -> Opp -> Close Won,Regression,Validate Healthcare Sales Lead,User has Sales access and Healthcare data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Validate and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Low,UI
SF-SA-00036,Sales,Lead,Healthcare,Account -> Contact -> Opp -> Close Won,Functional,View Healthcare Sales Lead,User has Sales access and Healthcare data is configured,"1. Navigate to Lead.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform View and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,Security
SF-SA-00037,Sales,Opportunity,Retail Banking,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Accessibility,Export Retail Banking Sales Opportunity,User has Sales access and Retail Banking data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Export and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Mobile
SF-SA-00038,Sales,Opportunity,Retail Banking,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Accessibility,View Retail Banking Sales Opportunity,User has Sales access and Retail Banking data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform View and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Medium,Performance
SF-SA-00039,Sales,Opportunity,Retail Banking,Campaign -> Lead -> Conversion -> Opp -> Revenue,Performance,Approve Retail Banking Sales Opportunity,User has Sales access and Retail Banking data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Approve and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Performance
SF-SA-00040,Sales,Opportunity,Retail Banking,Campaign -> Lead -> Conversion -> Opp -> Revenue,Security,Bulk Edit Retail Banking Sales Opportunity,User has Sales access and Retail Banking data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Bulk Edit and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Mobile
SF-SA-00041,Sales,Opportunity,Retail Banking,Account -> Contact -> Opp -> Close Won,Performance,Edit Retail Banking Sales Opportunity,User has Sales access and Retail Banking data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Edit and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Regression
SF-SA-00042,Sales,Opportunity,Retail Banking,Account -> Contact -> Opp -> Close Won,Performance,Delete Retail Banking Sales Opportunity,User has Sales access and Retail Banking data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Delete and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Accessibility
SF-SA-00043,Sales,Opportunity,Manufacturing,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Functional,Validate Manufacturing Sales Opportunity,User has Sales access and Manufacturing data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Validate and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Medium,Functional
SF-SA-00044,Sales,Opportunity,Manufacturing,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Functional,Approve Manufacturing Sales Opportunity,User has Sales access and Manufacturing data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Approve and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Security
SF-SA-00045,Sales,Opportunity,Manufacturing,Campaign -> Lead -> Conversion -> Opp -> Revenue,Performance,Submit Manufacturing Sales Opportunity,User has Sales access and Manufacturing data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Submit and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,High,Performance
SF-SA-00046,Sales,Opportunity,Manufacturing,Campaign -> Lead -> Conversion -> Opp -> Revenue,Security,Sync Manufacturing Sales Opportunity,User has Sales access and Manufacturing data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Sync and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,UI
SF-SA-00047,Sales,Opportunity,Manufacturing,Account -> Contact -> Opp -> Close Won,Integration,Clone Manufacturing Sales Opportunity,User has Sales access and Manufacturing data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Clone and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Low,Accessibility
SF-SA-00048,Sales,Opportunity,Manufacturing,Account -> Contact -> Opp -> Close Won,Accessibility,Search Manufacturing Sales Opportunity,User has Sales access and Manufacturing data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Search and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Low,Security
SF-SA-00049,Sales,Opportunity,Retail,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Integration,Edit Retail Sales Opportunity,User has Sales access and Retail data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Edit and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Medium,Functional
SF-SA-00050,Sales,Opportunity,Retail,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,UI,Archive Retail Sales Opportunity,User has Sales access and Retail data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Archive and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Low,Functional
SF-SA-00051,Sales,Opportunity,Retail,Campaign -> Lead -> Conversion -> Opp -> Revenue,Accessibility,Delete Retail Sales Opportunity,User has Sales access and Retail data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Delete and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Integration
SF-SA-00052,Sales,Opportunity,Retail,Campaign -> Lead -> Conversion -> Opp -> Revenue,Accessibility,Edit Retail Sales Opportunity,User has Sales access and Retail data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Edit and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,Functional
SF-SA-00053,Sales,Opportunity,Retail,Account -> Contact -> Opp -> Close Won,Mobile,Export Retail Sales Opportunity,User has Sales access and Retail data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Export and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,Regression
SF-SA-00054,Sales,Opportunity,Retail,Account -> Contact -> Opp -> Close Won,UI,Archive Retail Sales Opportunity,User has Sales access and Retail data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Archive and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,UI
SF-SA-00055,Sales,Opportunity,Insurance,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Integration,Search Insurance Sales Opportunity,User has Sales access and Insurance data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Search and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Integration
SF-SA-00056,Sales,Opportunity,Insurance,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Regression,Clone Insurance Sales Opportunity,User has Sales access and Insurance data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Clone and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Regression
SF-SA-00057,Sales,Opportunity,Insurance,Campaign -> Lead -> Conversion -> Opp -> Revenue,Regression,Validate Insurance Sales Opportunity,User has Sales access and Insurance data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Validate and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,High,Mobile
SF-SA-00058,Sales,Opportunity,Insurance,Campaign -> Lead -> Conversion -> Opp -> Revenue,Accessibility,Reject Insurance Sales Opportunity,User has Sales access and Insurance data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Reject and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Regression
SF-SA-00059,Sales,Opportunity,Insurance,Account -> Contact -> Opp -> Close Won,Performance,Update Insurance Sales Opportunity,User has Sales access and Insurance data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Update and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Low,Regression
SF-SA-00060,Sales,Opportunity,Insurance,Account -> Contact -> Opp -> Close Won,UI,Create Insurance Sales Opportunity,User has Sales access and Insurance data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Create and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Regression
SF-SA-00061,Sales,Opportunity,Education,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Security,Restore Education Sales Opportunity,User has Sales access and Education data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Restore and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,High,Performance
SF-SA-00062,Sales,Opportunity,Education,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,UI,Bulk Edit Education Sales Opportunity,User has Sales access and Education data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Bulk Edit and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Low,Regression
SF-SA-00063,Sales,Opportunity,Education,Campaign -> Lead -> Conversion -> Opp -> Revenue,Performance,Validate Education Sales Opportunity,User has Sales access and Education data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Validate and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,UI
SF-SA-00064,Sales,Opportunity,Education,Campaign -> Lead -> Conversion -> Opp -> Revenue,Mobile,Submit Education Sales Opportunity,User has Sales access and Education data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Submit and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,Security
SF-SA-00065,Sales,Opportunity,Education,Account -> Contact -> Opp -> Close Won,Regression,Edit Education Sales Opportunity,User has Sales access and Education data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Edit and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,Security
SF-SA-00066,Sales,Opportunity,Education,Account -> Contact -> Opp -> Close Won,UI,Bulk Edit Education Sales Opportunity,User has Sales access and Education data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Bulk Edit and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Accessibility
SF-SA-00067,Sales,Opportunity,Healthcare,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Regression,Export Healthcare Sales Opportunity,User has Sales access and Healthcare data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Export and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Medium,Performance
SF-SA-00068,Sales,Opportunity,Healthcare,Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast,Functional,Close Healthcare Sales Opportunity,User has Sales access and Healthcare data is configured,"1. Navigate to Opportunity.
2. Execute: Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast.
3. Perform Close and verify results.",Lead -> Convert -> Opportunity -> Quote -> Order -> Forecast completes successfully with audit trail and validation,Low,Regression
SF-SA-00069,Sales,Opportunity,Healthcare,Campaign -> Lead -> Conversion -> Opp -> Revenue,Functional,Search Healthcare Sales Opportunity,User has Sales access and Healthcare data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Search and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Medium,Regression
SF-SA-00070,Sales,Opportunity,Healthcare,Campaign -> Lead -> Conversion -> Opp -> Revenue,Regression,Clone Healthcare Sales Opportunity,User has Sales access and Healthcare data is configured,"1. Navigate to Opportunity.
2. Execute: Campaign -> Lead -> Conversion -> Opp -> Revenue.
3. Perform Clone and verify results.",Campaign -> Lead -> Conversion -> Opp -> Revenue completes successfully with audit trail and validation,Low,Integration
SF-SA-00071,Sales,Opportunity,Healthcare,Account -> Contact -> Opp -> Close Won,Security,Restore Healthcare Sales Opportunity,User has Sales access and Healthcare data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Restore and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,High,Functional
SF-SA-00072,Sales,Opportunity,Healthcare,Account -> Contact -> Opp -> Close Won,Security,Delete Healthcare Sales Opportunity,User has Sales access and Healthcare data is configured,"1. Navigate to Opportunity.
2. Execute: Account -> Contact -> Opp -> Close Won.
3. Perform Delete and verify results.",Account -> Contact -> Opp -> Close Won completes successfully with audit trail and validation,Medium,Security
