Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-REG-00011,Veeva,Regulatory,RIM,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Regression,Edit Medical Devices Veeva RIM,User has Veeva access and Medical Devices data is available,"1. Open RIM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00012,Veeva,Regulatory,RIM,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Data Migration,Approve Medical Devices Veeva RIM,User has Veeva access and Medical Devices data is available,"1. Open RIM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00013,Veeva,Regulatory,RIM,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,Security,Route Medical Devices Veeva RIM,User has Veeva access and Medical Devices data is available,"1. Open RIM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00014,Veeva,Regulatory,RIM,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,UI,Validate Medical Devices Veeva RIM,User has Veeva access and Medical Devices data is available,"1. Open RIM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00015,Veeva,Regulatory,RIM,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Integration,Clone Medical Devices Veeva RIM,User has Veeva access and Medical Devices data is available,"1. Open RIM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00016,Veeva,Regulatory,RIM,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,Accessibility,Escalate Consumer Health Veeva RIM,User has Veeva access and Consumer Health data is available,"1. Open RIM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00017,Veeva,Regulatory,RIM,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Security,Reject Consumer Health Veeva RIM,User has Veeva access and Consumer Health data is available,"1. Open RIM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00018,Veeva,Regulatory,RIM,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,Workflow,Update Consumer Health Veeva RIM,User has Veeva access and Consumer Health data is available,"1. Open RIM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00019,Veeva,Regulatory,RIM,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,Functional,Update Consumer Health Veeva RIM,User has Veeva access and Consumer Health data is available,"1. Open RIM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00020,Veeva,Regulatory,RIM,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,Regression,Validate Consumer Health Veeva RIM,User has Veeva access and Consumer Health data is available,"1. Open RIM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00021,Veeva,Regulatory,RIM,CRO,Setup -> Review -> Approve -> Publish -> Archive,Integration,Clone CRO Veeva RIM,User has Veeva access and CRO data is available,"1. Open RIM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00022,Veeva,Regulatory,RIM,CRO,Create -> Submit -> Approve -> Release -> Monitor,Workflow,Submit CRO Veeva RIM,User has Veeva access and CRO data is available,"1. Open RIM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00023,Veeva,Regulatory,RIM,CRO,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Escalate CRO Veeva RIM,User has Veeva access and CRO data is available,"1. Open RIM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00024,Veeva,Regulatory,RIM,CRO,Plan -> Execute -> Verify -> Close -> Audit,Workflow,Create CRO Veeva RIM,User has Veeva access and CRO data is available,"1. Open RIM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00025,Veeva,Regulatory,RIM,CRO,Content -> Approval -> HCP Delivery -> Analytics,Functional,Approve CRO Veeva RIM,User has Veeva access and CRO data is available,"1. Open RIM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00026,Veeva,Regulatory,RIM,Manufacturing,Setup -> Review -> Approve -> Publish -> Archive,Accessibility,Search Manufacturing Veeva RIM,User has Veeva access and Manufacturing data is available,"1. Open RIM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00027,Veeva,Regulatory,RIM,Manufacturing,Create -> Submit -> Approve -> Release -> Monitor,Functional,Archive Manufacturing Veeva RIM,User has Veeva access and Manufacturing data is available,"1. Open RIM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00028,Veeva,Regulatory,RIM,Manufacturing,Author -> Review -> Sign -> Distribute -> Track,Security,Delete Manufacturing Veeva RIM,User has Veeva access and Manufacturing data is available,"1. Open RIM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00029,Veeva,Regulatory,RIM,Manufacturing,Plan -> Execute -> Verify -> Close -> Audit,Functional,Archive Manufacturing Veeva RIM,User has Veeva access and Manufacturing data is available,"1. Open RIM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00030,Veeva,Regulatory,RIM,Manufacturing,Content -> Approval -> HCP Delivery -> Analytics,Accessibility,Delete Manufacturing Veeva RIM,User has Veeva access and Manufacturing data is available,"1. Open RIM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00031,Veeva,Regulatory,Submissions,Pharma,Setup -> Review -> Approve -> Publish -> Archive,Data Migration,Route Pharma Veeva Submissions,User has Veeva access and Pharma data is available,"1. Open Submissions.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00032,Veeva,Regulatory,Submissions,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Data Migration,Create Pharma Veeva Submissions,User has Veeva access and Pharma data is available,"1. Open Submissions.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00033,Veeva,Regulatory,Submissions,Pharma,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Search Pharma Veeva Submissions,User has Veeva access and Pharma data is available,"1. Open Submissions.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00034,Veeva,Regulatory,Submissions,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Workflow,Reject Pharma Veeva Submissions,User has Veeva access and Pharma data is available,"1. Open Submissions.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00035,Veeva,Regulatory,Submissions,Pharma,Content -> Approval -> HCP Delivery -> Analytics,Functional,Restore Pharma Veeva Submissions,User has Veeva access and Pharma data is available,"1. Open Submissions.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00036,Veeva,Regulatory,Submissions,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Data Migration,Search Biotech Veeva Submissions,User has Veeva access and Biotech data is available,"1. Open Submissions.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00037,Veeva,Regulatory,Submissions,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Regression,Route Biotech Veeva Submissions,User has Veeva access and Biotech data is available,"1. Open Submissions.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00038,Veeva,Regulatory,Submissions,Biotech,Author -> Review -> Sign -> Distribute -> Track,Functional,Escalate Biotech Veeva Submissions,User has Veeva access and Biotech data is available,"1. Open Submissions.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00039,Veeva,Regulatory,Submissions,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Accessibility,Search Biotech Veeva Submissions,User has Veeva access and Biotech data is available,"1. Open Submissions.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00040,Veeva,Regulatory,Submissions,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Security,Escalate Biotech Veeva Submissions,User has Veeva access and Biotech data is available,"1. Open Submissions.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00041,Veeva,Regulatory,Submissions,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Data Migration,Archive Medical Devices Veeva Submissions,User has Veeva access and Medical Devices data is available,"1. Open Submissions.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00042,Veeva,Regulatory,Submissions,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Integration,Restore Medical Devices Veeva Submissions,User has Veeva access and Medical Devices data is available,"1. Open Submissions.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00043,Veeva,Regulatory,Submissions,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,Integration,Update Medical Devices Veeva Submissions,User has Veeva access and Medical Devices data is available,"1. Open Submissions.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00044,Veeva,Regulatory,Submissions,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,Integration,Delete Medical Devices Veeva Submissions,User has Veeva access and Medical Devices data is available,"1. Open Submissions.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00045,Veeva,Regulatory,Submissions,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Accessibility,Clone Medical Devices Veeva Submissions,User has Veeva access and Medical Devices data is available,"1. Open Submissions.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00046,Veeva,Regulatory,Submissions,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,Functional,Create Consumer Health Veeva Submissions,User has Veeva access and Consumer Health data is available,"1. Open Submissions.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00047,Veeva,Regulatory,Submissions,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Regression,Clone Consumer Health Veeva Submissions,User has Veeva access and Consumer Health data is available,"1. Open Submissions.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00048,Veeva,Regulatory,Submissions,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,Performance,Update Consumer Health Veeva Submissions,User has Veeva access and Consumer Health data is available,"1. Open Submissions.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00049,Veeva,Regulatory,Submissions,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,Functional,Reject Consumer Health Veeva Submissions,User has Veeva access and Consumer Health data is available,"1. Open Submissions.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00050,Veeva,Regulatory,Submissions,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,Integration,Edit Consumer Health Veeva Submissions,User has Veeva access and Consumer Health data is available,"1. Open Submissions.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00051,Veeva,Regulatory,Submissions,CRO,Setup -> Review -> Approve -> Publish -> Archive,Regression,Route CRO Veeva Submissions,User has Veeva access and CRO data is available,"1. Open Submissions.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00052,Veeva,Regulatory,Submissions,CRO,Create -> Submit -> Approve -> Release -> Monitor,Data Migration,Clone CRO Veeva Submissions,User has Veeva access and CRO data is available,"1. Open Submissions.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00053,Veeva,Regulatory,Submissions,CRO,Author -> Review -> Sign -> Distribute -> Track,Regression,Route CRO Veeva Submissions,User has Veeva access and CRO data is available,"1. Open Submissions.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00054,Veeva,Regulatory,Submissions,CRO,Plan -> Execute -> Verify -> Close -> Audit,Security,Delete CRO Veeva Submissions,User has Veeva access and CRO data is available,"1. Open Submissions.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00055,Veeva,Regulatory,Submissions,CRO,Content -> Approval -> HCP Delivery -> Analytics,Workflow,Edit CRO Veeva Submissions,User has Veeva access and CRO data is available,"1. Open Submissions.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00056,Veeva,Regulatory,Submissions,Manufacturing,Setup -> Review -> Approve -> Publish -> Archive,Regression,Approve Manufacturing Veeva Submissions,User has Veeva access and Manufacturing data is available,"1. Open Submissions.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
