Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
ORA-SCM-00011,OracleApps,scm,Inventory,Manufacturing,Draft -> Review -> Publish -> Archive,Security,Archive Manufacturing OracleApps Inventory,User has OracleApps access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00012,OracleApps,scm,Inventory,Manufacturing,Configure -> Execute -> Verify -> Close,Accessibility,Archive Manufacturing OracleApps Inventory,User has OracleApps access and Manufacturing data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00013,OracleApps,scm,Inventory,Healthcare,Create -> Approve -> Post -> Report,UI,Approve Healthcare OracleApps Inventory,User has OracleApps access and Healthcare data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00014,OracleApps,scm,Inventory,Healthcare,Submit -> Validate -> Approve -> Complete,UI,Reject Healthcare OracleApps Inventory,User has OracleApps access and Healthcare data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00015,OracleApps,scm,Inventory,Healthcare,Draft -> Review -> Publish -> Archive,Accessibility,Delete Healthcare OracleApps Inventory,User has OracleApps access and Healthcare data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00016,OracleApps,scm,Inventory,Healthcare,Configure -> Execute -> Verify -> Close,Regression,Validate Healthcare OracleApps Inventory,User has OracleApps access and Healthcare data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00017,OracleApps,scm,Inventory,Public Sector,Create -> Approve -> Post -> Report,Workflow,Edit Public Sector OracleApps Inventory,User has OracleApps access and Public Sector data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00018,OracleApps,scm,Inventory,Public Sector,Submit -> Validate -> Approve -> Complete,Security,Reject Public Sector OracleApps Inventory,User has OracleApps access and Public Sector data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00019,OracleApps,scm,Inventory,Public Sector,Draft -> Review -> Publish -> Archive,Performance,Archive Public Sector OracleApps Inventory,User has OracleApps access and Public Sector data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00020,OracleApps,scm,Inventory,Public Sector,Configure -> Execute -> Verify -> Close,Workflow,Validate Public Sector OracleApps Inventory,User has OracleApps access and Public Sector data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00021,OracleApps,scm,Inventory,Technology,Create -> Approve -> Post -> Report,Security,Escalate Technology OracleApps Inventory,User has OracleApps access and Technology data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00022,OracleApps,scm,Inventory,Technology,Submit -> Validate -> Approve -> Complete,Accessibility,Restore Technology OracleApps Inventory,User has OracleApps access and Technology data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00023,OracleApps,scm,Inventory,Technology,Draft -> Review -> Publish -> Archive,Workflow,Edit Technology OracleApps Inventory,User has OracleApps access and Technology data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00024,OracleApps,scm,Inventory,Technology,Configure -> Execute -> Verify -> Close,Integration,Update Technology OracleApps Inventory,User has OracleApps access and Technology data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00025,OracleApps,scm,Inventory,Education,Create -> Approve -> Post -> Report,Functional,Approve Education OracleApps Inventory,User has OracleApps access and Education data exists,"1. Open Inventory.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00026,OracleApps,scm,Inventory,Education,Submit -> Validate -> Approve -> Complete,Security,Restore Education OracleApps Inventory,User has OracleApps access and Education data exists,"1. Open Inventory.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00027,OracleApps,scm,Inventory,Education,Draft -> Review -> Publish -> Archive,Performance,Restore Education OracleApps Inventory,User has OracleApps access and Education data exists,"1. Open Inventory.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00028,OracleApps,scm,Inventory,Education,Configure -> Execute -> Verify -> Close,Functional,Approve Education OracleApps Inventory,User has OracleApps access and Education data exists,"1. Open Inventory.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00029,OracleApps,scm,Order Management,Enterprise,Create -> Approve -> Post -> Report,Accessibility,Route Enterprise OracleApps Order Management,User has OracleApps access and Enterprise data exists,"1. Open Order Management.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00030,OracleApps,scm,Order Management,Enterprise,Submit -> Validate -> Approve -> Complete,Regression,Validate Enterprise OracleApps Order Management,User has OracleApps access and Enterprise data exists,"1. Open Order Management.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00031,OracleApps,scm,Order Management,Enterprise,Draft -> Review -> Publish -> Archive,Integration,Delete Enterprise OracleApps Order Management,User has OracleApps access and Enterprise data exists,"1. Open Order Management.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00032,OracleApps,scm,Order Management,Enterprise,Configure -> Execute -> Verify -> Close,Security,Archive Enterprise OracleApps Order Management,User has OracleApps access and Enterprise data exists,"1. Open Order Management.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00033,OracleApps,scm,Order Management,Retail,Create -> Approve -> Post -> Report,Accessibility,Clone Retail OracleApps Order Management,User has OracleApps access and Retail data exists,"1. Open Order Management.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00034,OracleApps,scm,Order Management,Retail,Submit -> Validate -> Approve -> Complete,Functional,Update Retail OracleApps Order Management,User has OracleApps access and Retail data exists,"1. Open Order Management.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00035,OracleApps,scm,Order Management,Retail,Draft -> Review -> Publish -> Archive,UI,Reject Retail OracleApps Order Management,User has OracleApps access and Retail data exists,"1. Open Order Management.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00036,OracleApps,scm,Order Management,Retail,Configure -> Execute -> Verify -> Close,Security,Archive Retail OracleApps Order Management,User has OracleApps access and Retail data exists,"1. Open Order Management.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00037,OracleApps,scm,Order Management,Manufacturing,Create -> Approve -> Post -> Report,Security,Approve Manufacturing OracleApps Order Management,User has OracleApps access and Manufacturing data exists,"1. Open Order Management.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00038,OracleApps,scm,Order Management,Manufacturing,Submit -> Validate -> Approve -> Complete,Integration,Search Manufacturing OracleApps Order Management,User has OracleApps access and Manufacturing data exists,"1. Open Order Management.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00039,OracleApps,scm,Order Management,Manufacturing,Draft -> Review -> Publish -> Archive,UI,Validate Manufacturing OracleApps Order Management,User has OracleApps access and Manufacturing data exists,"1. Open Order Management.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00040,OracleApps,scm,Order Management,Manufacturing,Configure -> Execute -> Verify -> Close,Integration,Validate Manufacturing OracleApps Order Management,User has OracleApps access and Manufacturing data exists,"1. Open Order Management.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00041,OracleApps,scm,Order Management,Healthcare,Create -> Approve -> Post -> Report,Accessibility,Submit Healthcare OracleApps Order Management,User has OracleApps access and Healthcare data exists,"1. Open Order Management.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00042,OracleApps,scm,Order Management,Healthcare,Submit -> Validate -> Approve -> Complete,UI,Approve Healthcare OracleApps Order Management,User has OracleApps access and Healthcare data exists,"1. Open Order Management.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00043,OracleApps,scm,Order Management,Healthcare,Draft -> Review -> Publish -> Archive,Security,Submit Healthcare OracleApps Order Management,User has OracleApps access and Healthcare data exists,"1. Open Order Management.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00044,OracleApps,scm,Order Management,Healthcare,Configure -> Execute -> Verify -> Close,UI,Delete Healthcare OracleApps Order Management,User has OracleApps access and Healthcare data exists,"1. Open Order Management.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00045,OracleApps,scm,Order Management,Public Sector,Create -> Approve -> Post -> Report,Performance,Validate Public Sector OracleApps Order Management,User has OracleApps access and Public Sector data exists,"1. Open Order Management.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00046,OracleApps,scm,Order Management,Public Sector,Submit -> Validate -> Approve -> Complete,UI,Reject Public Sector OracleApps Order Management,User has OracleApps access and Public Sector data exists,"1. Open Order Management.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00047,OracleApps,scm,Order Management,Public Sector,Draft -> Review -> Publish -> Archive,Accessibility,Restore Public Sector OracleApps Order Management,User has OracleApps access and Public Sector data exists,"1. Open Order Management.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00048,OracleApps,scm,Order Management,Public Sector,Configure -> Execute -> Verify -> Close,Accessibility,Edit Public Sector OracleApps Order Management,User has OracleApps access and Public Sector data exists,"1. Open Order Management.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00049,OracleApps,scm,Order Management,Technology,Create -> Approve -> Post -> Report,UI,Delete Technology OracleApps Order Management,User has OracleApps access and Technology data exists,"1. Open Order Management.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00050,OracleApps,scm,Order Management,Technology,Submit -> Validate -> Approve -> Complete,Regression,Update Technology OracleApps Order Management,User has OracleApps access and Technology data exists,"1. Open Order Management.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00051,OracleApps,scm,Order Management,Technology,Draft -> Review -> Publish -> Archive,Workflow,Submit Technology OracleApps Order Management,User has OracleApps access and Technology data exists,"1. Open Order Management.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00052,OracleApps,scm,Order Management,Technology,Configure -> Execute -> Verify -> Close,Integration,Edit Technology OracleApps Order Management,User has OracleApps access and Technology data exists,"1. Open Order Management.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00053,OracleApps,scm,Order Management,Education,Create -> Approve -> Post -> Report,Functional,Update Education OracleApps Order Management,User has OracleApps access and Education data exists,"1. Open Order Management.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00054,OracleApps,scm,Order Management,Education,Submit -> Validate -> Approve -> Complete,Workflow,Edit Education OracleApps Order Management,User has OracleApps access and Education data exists,"1. Open Order Management.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00055,OracleApps,scm,Order Management,Education,Draft -> Review -> Publish -> Archive,Performance,Delete Education OracleApps Order Management,User has OracleApps access and Education data exists,"1. Open Order Management.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00056,OracleApps,scm,Order Management,Education,Configure -> Execute -> Verify -> Close,UI,Escalate Education OracleApps Order Management,User has OracleApps access and Education data exists,"1. Open Order Management.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00057,OracleApps,scm,Manufacturing,Enterprise,Create -> Approve -> Post -> Report,Regression,Route Enterprise OracleApps Manufacturing,User has OracleApps access and Enterprise data exists,"1. Open Manufacturing.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00058,OracleApps,scm,Manufacturing,Enterprise,Submit -> Validate -> Approve -> Complete,Security,Archive Enterprise OracleApps Manufacturing,User has OracleApps access and Enterprise data exists,"1. Open Manufacturing.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00059,OracleApps,scm,Manufacturing,Enterprise,Draft -> Review -> Publish -> Archive,Performance,Archive Enterprise OracleApps Manufacturing,User has OracleApps access and Enterprise data exists,"1. Open Manufacturing.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-SCM-00060,OracleApps,scm,Manufacturing,Enterprise,Configure -> Execute -> Verify -> Close,UI,Restore Enterprise OracleApps Manufacturing,User has OracleApps access and Enterprise data exists,"1. Open Manufacturing.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
