Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SAP-00014,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00015,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00016,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00017,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00018,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00019,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00020,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00021,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00022,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00023,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00024,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00025,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00026,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00027,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00028,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00029,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00030,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00031,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00032,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00033,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00034,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00035,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00036,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00037,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00038,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00039,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00040,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00041,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00042,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00043,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00044,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00045,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00046,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00047,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00048,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00049,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00050,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00051,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00052,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00053,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00054,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00055,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00056,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00057,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00058,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00059,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00060,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00061,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00062,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00063,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00064,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00065,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00066,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00067,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00068,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00069,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00070,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00071,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00072,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00073,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00074,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00075,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00076,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00077,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00078,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00079,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00080,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00081,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00082,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00083,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00084,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00085,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00086,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00087,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00088,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00089,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00090,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00091,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00092,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00093,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00094,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00095,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00096,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00097,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00098,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00099,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00100,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00101,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00102,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00103,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00104,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00105,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00106,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00107,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00108,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00109,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00110,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00111,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00112,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00113,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00114,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00115,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00116,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00117,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00118,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00119,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00120,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00121,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00122,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00123,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00124,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00125,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00126,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00127,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00128,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00129,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00130,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00131,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00132,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00133,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00134,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00135,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00136,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00137,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00138,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00139,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00140,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00141,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00142,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00143,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00144,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00145,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00146,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00147,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00148,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00149,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00150,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
