Test Case ID,Suite,Function,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
SAP-CO-00013,SAP Ph-II,CO,Cost Center,Pharma,Request -> Process -> Approve -> Complete,Workflow,Reject Pharma SAP Cost Center,SAP access provisioned and Pharma test data exists,"1. Open Cost Center.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00014,SAP Ph-II,CO,Cost Center,Pharma,Master Data -> Transaction -> Settlement -> Analytics,UI,Search Pharma SAP Cost Center,SAP access provisioned and Pharma test data exists,"1. Open Cost Center.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00015,SAP Ph-II,CO,Cost Center,Pharma,Order -> Delivery -> Billing -> Accounting,Integration,Reject Pharma SAP Cost Center,SAP access provisioned and Pharma test data exists,"1. Open Cost Center.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00016,SAP Ph-II,CO,Cost Center,Automotive,Create -> Approve -> Post -> Report,UI,Reject Automotive SAP Cost Center,SAP access provisioned and Automotive test data exists,"1. Open Cost Center.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Low,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00017,SAP Ph-II,CO,Cost Center,Automotive,Plan -> Execute -> Verify -> Close,Security,Search Automotive SAP Cost Center,SAP access provisioned and Automotive test data exists,"1. Open Cost Center.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00018,SAP Ph-II,CO,Cost Center,Automotive,Request -> Process -> Approve -> Complete,Regression,Restore Automotive SAP Cost Center,SAP access provisioned and Automotive test data exists,"1. Open Cost Center.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Medium,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00019,SAP Ph-II,CO,Cost Center,Automotive,Master Data -> Transaction -> Settlement -> Analytics,Workflow,Delete Automotive SAP Cost Center,SAP access provisioned and Automotive test data exists,"1. Open Cost Center.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00020,SAP Ph-II,CO,Cost Center,Automotive,Order -> Delivery -> Billing -> Accounting,Security,Reject Automotive SAP Cost Center,SAP access provisioned and Automotive test data exists,"1. Open Cost Center.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00021,SAP Ph-II,CO,Cost Center,Banking,Create -> Approve -> Post -> Report,Regression,Update Banking SAP Cost Center,SAP access provisioned and Banking test data exists,"1. Open Cost Center.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Low,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00022,SAP Ph-II,CO,Cost Center,Banking,Plan -> Execute -> Verify -> Close,Security,Create Banking SAP Cost Center,SAP access provisioned and Banking test data exists,"1. Open Cost Center.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00023,SAP Ph-II,CO,Cost Center,Banking,Request -> Process -> Approve -> Complete,Functional,Approve Banking SAP Cost Center,SAP access provisioned and Banking test data exists,"1. Open Cost Center.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,High,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00024,SAP Ph-II,CO,Cost Center,Banking,Master Data -> Transaction -> Settlement -> Analytics,Regression,Archive Banking SAP Cost Center,SAP access provisioned and Banking test data exists,"1. Open Cost Center.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00025,SAP Ph-II,CO,Cost Center,Banking,Order -> Delivery -> Billing -> Accounting,Functional,Search Banking SAP Cost Center,SAP access provisioned and Banking test data exists,"1. Open Cost Center.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00026,SAP Ph-II,CO,Cost Center,Utilities,Create -> Approve -> Post -> Report,Performance,Submit Utilities SAP Cost Center,SAP access provisioned and Utilities test data exists,"1. Open Cost Center.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00027,SAP Ph-II,CO,Cost Center,Utilities,Plan -> Execute -> Verify -> Close,Integration,Validate Utilities SAP Cost Center,SAP access provisioned and Utilities test data exists,"1. Open Cost Center.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00028,SAP Ph-II,CO,Cost Center,Utilities,Request -> Process -> Approve -> Complete,Integration,Approve Utilities SAP Cost Center,SAP access provisioned and Utilities test data exists,"1. Open Cost Center.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,High,Security,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00029,SAP Ph-II,CO,Cost Center,Utilities,Master Data -> Transaction -> Settlement -> Analytics,Integration,Validate Utilities SAP Cost Center,SAP access provisioned and Utilities test data exists,"1. Open Cost Center.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00030,SAP Ph-II,CO,Cost Center,Utilities,Order -> Delivery -> Billing -> Accounting,Performance,Reject Utilities SAP Cost Center,SAP access provisioned and Utilities test data exists,"1. Open Cost Center.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,High,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00031,SAP Ph-II,CO,Cost Center,CPG,Create -> Approve -> Post -> Report,Integration,Route CPG SAP Cost Center,SAP access provisioned and CPG test data exists,"1. Open Cost Center.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00032,SAP Ph-II,CO,Cost Center,CPG,Plan -> Execute -> Verify -> Close,Regression,Update CPG SAP Cost Center,SAP access provisioned and CPG test data exists,"1. Open Cost Center.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00033,SAP Ph-II,CO,Cost Center,CPG,Request -> Process -> Approve -> Complete,Functional,Update CPG SAP Cost Center,SAP access provisioned and CPG test data exists,"1. Open Cost Center.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00034,SAP Ph-II,CO,Cost Center,CPG,Master Data -> Transaction -> Settlement -> Analytics,Security,Approve CPG SAP Cost Center,SAP access provisioned and CPG test data exists,"1. Open Cost Center.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00035,SAP Ph-II,CO,Cost Center,CPG,Order -> Delivery -> Billing -> Accounting,Workflow,Update CPG SAP Cost Center,SAP access provisioned and CPG test data exists,"1. Open Cost Center.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Medium,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00036,SAP Ph-II,CO,Cost Center,Public Sector,Create -> Approve -> Post -> Report,UI,Approve Public Sector SAP Cost Center,SAP access provisioned and Public Sector test data exists,"1. Open Cost Center.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00037,SAP Ph-II,CO,Cost Center,Public Sector,Plan -> Execute -> Verify -> Close,Workflow,Clone Public Sector SAP Cost Center,SAP access provisioned and Public Sector test data exists,"1. Open Cost Center.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00038,SAP Ph-II,CO,Cost Center,Public Sector,Request -> Process -> Approve -> Complete,Performance,Update Public Sector SAP Cost Center,SAP access provisioned and Public Sector test data exists,"1. Open Cost Center.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Security,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00039,SAP Ph-II,CO,Cost Center,Public Sector,Master Data -> Transaction -> Settlement -> Analytics,Functional,Delete Public Sector SAP Cost Center,SAP access provisioned and Public Sector test data exists,"1. Open Cost Center.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00040,SAP Ph-II,CO,Cost Center,Public Sector,Order -> Delivery -> Billing -> Accounting,Integration,Archive Public Sector SAP Cost Center,SAP access provisioned and Public Sector test data exists,"1. Open Cost Center.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Medium,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00041,SAP Ph-II,CO,Internal Orders,Manufacturing,Create -> Approve -> Post -> Report,Integration,Escalate Manufacturing SAP Internal Orders,SAP access provisioned and Manufacturing test data exists,"1. Open Internal Orders.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00042,SAP Ph-II,CO,Internal Orders,Manufacturing,Plan -> Execute -> Verify -> Close,Regression,Restore Manufacturing SAP Internal Orders,SAP access provisioned and Manufacturing test data exists,"1. Open Internal Orders.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,High,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00043,SAP Ph-II,CO,Internal Orders,Manufacturing,Request -> Process -> Approve -> Complete,Security,Create Manufacturing SAP Internal Orders,SAP access provisioned and Manufacturing test data exists,"1. Open Internal Orders.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Medium,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00044,SAP Ph-II,CO,Internal Orders,Manufacturing,Master Data -> Transaction -> Settlement -> Analytics,UI,Restore Manufacturing SAP Internal Orders,SAP access provisioned and Manufacturing test data exists,"1. Open Internal Orders.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,High,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00045,SAP Ph-II,CO,Internal Orders,Manufacturing,Order -> Delivery -> Billing -> Accounting,Regression,Search Manufacturing SAP Internal Orders,SAP access provisioned and Manufacturing test data exists,"1. Open Internal Orders.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Medium,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00046,SAP Ph-II,CO,Internal Orders,Retail,Create -> Approve -> Post -> Report,Security,Update Retail SAP Internal Orders,SAP access provisioned and Retail test data exists,"1. Open Internal Orders.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Medium,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00047,SAP Ph-II,CO,Internal Orders,Retail,Plan -> Execute -> Verify -> Close,Performance,Escalate Retail SAP Internal Orders,SAP access provisioned and Retail test data exists,"1. Open Internal Orders.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,UI,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00048,SAP Ph-II,CO,Internal Orders,Retail,Request -> Process -> Approve -> Complete,Integration,Update Retail SAP Internal Orders,SAP access provisioned and Retail test data exists,"1. Open Internal Orders.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Low,Regression,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00049,SAP Ph-II,CO,Internal Orders,Retail,Master Data -> Transaction -> Settlement -> Analytics,Integration,Approve Retail SAP Internal Orders,SAP access provisioned and Retail test data exists,"1. Open Internal Orders.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Medium,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00050,SAP Ph-II,CO,Internal Orders,Retail,Order -> Delivery -> Billing -> Accounting,Functional,Search Retail SAP Internal Orders,SAP access provisioned and Retail test data exists,"1. Open Internal Orders.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00051,SAP Ph-II,CO,Internal Orders,Pharma,Create -> Approve -> Post -> Report,Integration,Restore Pharma SAP Internal Orders,SAP access provisioned and Pharma test data exists,"1. Open Internal Orders.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,Medium,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00052,SAP Ph-II,CO,Internal Orders,Pharma,Plan -> Execute -> Verify -> Close,Workflow,Delete Pharma SAP Internal Orders,SAP access provisioned and Pharma test data exists,"1. Open Internal Orders.
2. Execute: Plan -> Execute -> Verify -> Close.
3. Validate posting, output, and audit trail.",Plan -> Execute -> Verify -> Close completes with accounting/logistics integrity and reporting,Medium,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00053,SAP Ph-II,CO,Internal Orders,Pharma,Request -> Process -> Approve -> Complete,Functional,Validate Pharma SAP Internal Orders,SAP access provisioned and Pharma test data exists,"1. Open Internal Orders.
2. Execute: Request -> Process -> Approve -> Complete.
3. Validate posting, output, and audit trail.",Request -> Process -> Approve -> Complete completes with accounting/logistics integrity and reporting,Medium,Workflow,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00054,SAP Ph-II,CO,Internal Orders,Pharma,Master Data -> Transaction -> Settlement -> Analytics,Workflow,Reject Pharma SAP Internal Orders,SAP access provisioned and Pharma test data exists,"1. Open Internal Orders.
2. Execute: Master Data -> Transaction -> Settlement -> Analytics.
3. Validate posting, output, and audit trail.",Master Data -> Transaction -> Settlement -> Analytics completes with accounting/logistics integrity and reporting,Low,Performance,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00055,SAP Ph-II,CO,Internal Orders,Pharma,Order -> Delivery -> Billing -> Accounting,Functional,Reject Pharma SAP Internal Orders,SAP access provisioned and Pharma test data exists,"1. Open Internal Orders.
2. Execute: Order -> Delivery -> Billing -> Accounting.
3. Validate posting, output, and audit trail.",Order -> Delivery -> Billing -> Accounting completes with accounting/logistics integrity and reporting,Low,Integration,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
SAP-CO-00056,SAP Ph-II,CO,Internal Orders,Automotive,Create -> Approve -> Post -> Report,Security,Archive Automotive SAP Internal Orders,SAP access provisioned and Automotive test data exists,"1. Open Internal Orders.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate posting, output, and audit trail.",Create -> Approve -> Post -> Report completes with accounting/logistics integrity and reporting,High,Functional,"{""company_code"": ""1000"", ""plant"": ""PL01"", ""sales_org"": ""SO01"", ""purch_org"": ""PO01""}"
