Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
SN-ITOM-00011,ServiceNow,Event Management,Platform Engineering,Event -> Noise Reduction -> Incident Creation -> Resolution,Performance,Clone Platform Engineering ServiceNow Event Management,User has ServiceNow access and Platform Engineering test data exists,"1. Open Event Management.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00012,ServiceNow,Event Management,Platform Engineering,Service Mapping -> Dependency -> Impact Analysis,Functional,Edit Platform Engineering ServiceNow Event Management,User has ServiceNow access and Platform Engineering test data exists,"1. Open Event Management.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00013,ServiceNow,Service Mapping,Infrastructure,Discovery -> CI Update -> Event Correlation -> Alert,Integration,Update Infrastructure ServiceNow Service Mapping,User has ServiceNow access and Infrastructure test data exists,"1. Open Service Mapping.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00014,ServiceNow,Service Mapping,Infrastructure,Event -> Noise Reduction -> Incident Creation -> Resolution,Performance,Reject Infrastructure ServiceNow Service Mapping,User has ServiceNow access and Infrastructure test data exists,"1. Open Service Mapping.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Low,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00015,ServiceNow,Service Mapping,Infrastructure,Service Mapping -> Dependency -> Impact Analysis,Performance,Edit Infrastructure ServiceNow Service Mapping,User has ServiceNow access and Infrastructure test data exists,"1. Open Service Mapping.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00016,ServiceNow,Service Mapping,CloudOps,Discovery -> CI Update -> Event Correlation -> Alert,Performance,Reject CloudOps ServiceNow Service Mapping,User has ServiceNow access and CloudOps test data exists,"1. Open Service Mapping.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00017,ServiceNow,Service Mapping,CloudOps,Event -> Noise Reduction -> Incident Creation -> Resolution,Regression,Update CloudOps ServiceNow Service Mapping,User has ServiceNow access and CloudOps test data exists,"1. Open Service Mapping.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Medium,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00018,ServiceNow,Service Mapping,CloudOps,Service Mapping -> Dependency -> Impact Analysis,Regression,Update CloudOps ServiceNow Service Mapping,User has ServiceNow access and CloudOps test data exists,"1. Open Service Mapping.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00019,ServiceNow,Service Mapping,NOC,Discovery -> CI Update -> Event Correlation -> Alert,Functional,Create NOC ServiceNow Service Mapping,User has ServiceNow access and NOC test data exists,"1. Open Service Mapping.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00020,ServiceNow,Service Mapping,NOC,Event -> Noise Reduction -> Incident Creation -> Resolution,Regression,Validate NOC ServiceNow Service Mapping,User has ServiceNow access and NOC test data exists,"1. Open Service Mapping.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00021,ServiceNow,Service Mapping,NOC,Service Mapping -> Dependency -> Impact Analysis,Regression,Create NOC ServiceNow Service Mapping,User has ServiceNow access and NOC test data exists,"1. Open Service Mapping.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00022,ServiceNow,Service Mapping,Platform Engineering,Discovery -> CI Update -> Event Correlation -> Alert,Regression,Reject Platform Engineering ServiceNow Service Mapping,User has ServiceNow access and Platform Engineering test data exists,"1. Open Service Mapping.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",High,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00023,ServiceNow,Service Mapping,Platform Engineering,Event -> Noise Reduction -> Incident Creation -> Resolution,Regression,Validate Platform Engineering ServiceNow Service Mapping,User has ServiceNow access and Platform Engineering test data exists,"1. Open Service Mapping.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00024,ServiceNow,Service Mapping,Platform Engineering,Service Mapping -> Dependency -> Impact Analysis,Functional,Approve Platform Engineering ServiceNow Service Mapping,User has ServiceNow access and Platform Engineering test data exists,"1. Open Service Mapping.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",Low,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00025,ServiceNow,Discovery,Infrastructure,Discovery -> CI Update -> Event Correlation -> Alert,Functional,Create Infrastructure ServiceNow Discovery,User has ServiceNow access and Infrastructure test data exists,"1. Open Discovery.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",High,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00026,ServiceNow,Discovery,Infrastructure,Event -> Noise Reduction -> Incident Creation -> Resolution,Security,Reject Infrastructure ServiceNow Discovery,User has ServiceNow access and Infrastructure test data exists,"1. Open Discovery.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Medium,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00027,ServiceNow,Discovery,Infrastructure,Service Mapping -> Dependency -> Impact Analysis,Integration,Validate Infrastructure ServiceNow Discovery,User has ServiceNow access and Infrastructure test data exists,"1. Open Discovery.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",Low,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00028,ServiceNow,Discovery,CloudOps,Discovery -> CI Update -> Event Correlation -> Alert,Performance,Reject CloudOps ServiceNow Discovery,User has ServiceNow access and CloudOps test data exists,"1. Open Discovery.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Medium,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00029,ServiceNow,Discovery,CloudOps,Event -> Noise Reduction -> Incident Creation -> Resolution,Integration,Clone CloudOps ServiceNow Discovery,User has ServiceNow access and CloudOps test data exists,"1. Open Discovery.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00030,ServiceNow,Discovery,CloudOps,Service Mapping -> Dependency -> Impact Analysis,Security,Edit CloudOps ServiceNow Discovery,User has ServiceNow access and CloudOps test data exists,"1. Open Discovery.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00031,ServiceNow,Discovery,NOC,Discovery -> CI Update -> Event Correlation -> Alert,Integration,Create NOC ServiceNow Discovery,User has ServiceNow access and NOC test data exists,"1. Open Discovery.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Medium,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00032,ServiceNow,Discovery,NOC,Event -> Noise Reduction -> Incident Creation -> Resolution,Functional,Edit NOC ServiceNow Discovery,User has ServiceNow access and NOC test data exists,"1. Open Discovery.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Medium,Integration,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00033,ServiceNow,Discovery,NOC,Service Mapping -> Dependency -> Impact Analysis,Regression,Delete NOC ServiceNow Discovery,User has ServiceNow access and NOC test data exists,"1. Open Discovery.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00034,ServiceNow,Discovery,Platform Engineering,Discovery -> CI Update -> Event Correlation -> Alert,Integration,Clone Platform Engineering ServiceNow Discovery,User has ServiceNow access and Platform Engineering test data exists,"1. Open Discovery.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00035,ServiceNow,Discovery,Platform Engineering,Event -> Noise Reduction -> Incident Creation -> Resolution,Integration,Validate Platform Engineering ServiceNow Discovery,User has ServiceNow access and Platform Engineering test data exists,"1. Open Discovery.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00036,ServiceNow,Discovery,Platform Engineering,Service Mapping -> Dependency -> Impact Analysis,Performance,Submit Platform Engineering ServiceNow Discovery,User has ServiceNow access and Platform Engineering test data exists,"1. Open Discovery.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00037,ServiceNow,Operational Intelligence,Infrastructure,Discovery -> CI Update -> Event Correlation -> Alert,Functional,Reject Infrastructure ServiceNow Operational Intelligence,User has ServiceNow access and Infrastructure test data exists,"1. Open Operational Intelligence.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00038,ServiceNow,Operational Intelligence,Infrastructure,Event -> Noise Reduction -> Incident Creation -> Resolution,Functional,Validate Infrastructure ServiceNow Operational Intelligence,User has ServiceNow access and Infrastructure test data exists,"1. Open Operational Intelligence.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Low,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00039,ServiceNow,Operational Intelligence,Infrastructure,Service Mapping -> Dependency -> Impact Analysis,Functional,Submit Infrastructure ServiceNow Operational Intelligence,User has ServiceNow access and Infrastructure test data exists,"1. Open Operational Intelligence.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00040,ServiceNow,Operational Intelligence,CloudOps,Discovery -> CI Update -> Event Correlation -> Alert,Security,Create CloudOps ServiceNow Operational Intelligence,User has ServiceNow access and CloudOps test data exists,"1. Open Operational Intelligence.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00041,ServiceNow,Operational Intelligence,CloudOps,Event -> Noise Reduction -> Incident Creation -> Resolution,Integration,Resolve CloudOps ServiceNow Operational Intelligence,User has ServiceNow access and CloudOps test data exists,"1. Open Operational Intelligence.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00042,ServiceNow,Operational Intelligence,CloudOps,Service Mapping -> Dependency -> Impact Analysis,Regression,Submit CloudOps ServiceNow Operational Intelligence,User has ServiceNow access and CloudOps test data exists,"1. Open Operational Intelligence.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",Low,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00043,ServiceNow,Operational Intelligence,NOC,Discovery -> CI Update -> Event Correlation -> Alert,Security,Delete NOC ServiceNow Operational Intelligence,User has ServiceNow access and NOC test data exists,"1. Open Operational Intelligence.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00044,ServiceNow,Operational Intelligence,NOC,Event -> Noise Reduction -> Incident Creation -> Resolution,Integration,Clone NOC ServiceNow Operational Intelligence,User has ServiceNow access and NOC test data exists,"1. Open Operational Intelligence.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",High,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00045,ServiceNow,Operational Intelligence,NOC,Service Mapping -> Dependency -> Impact Analysis,Functional,Search NOC ServiceNow Operational Intelligence,User has ServiceNow access and NOC test data exists,"1. Open Operational Intelligence.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",Low,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00046,ServiceNow,Operational Intelligence,Platform Engineering,Discovery -> CI Update -> Event Correlation -> Alert,Integration,Delete Platform Engineering ServiceNow Operational Intelligence,User has ServiceNow access and Platform Engineering test data exists,"1. Open Operational Intelligence.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00047,ServiceNow,Operational Intelligence,Platform Engineering,Event -> Noise Reduction -> Incident Creation -> Resolution,Security,Approve Platform Engineering ServiceNow Operational Intelligence,User has ServiceNow access and Platform Engineering test data exists,"1. Open Operational Intelligence.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Low,Performance,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00048,ServiceNow,Operational Intelligence,Platform Engineering,Service Mapping -> Dependency -> Impact Analysis,Regression,Edit Platform Engineering ServiceNow Operational Intelligence,User has ServiceNow access and Platform Engineering test data exists,"1. Open Operational Intelligence.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00049,ServiceNow,Cloud Management,Infrastructure,Discovery -> CI Update -> Event Correlation -> Alert,Integration,Search Infrastructure ServiceNow Cloud Management,User has ServiceNow access and Infrastructure test data exists,"1. Open Cloud Management.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Medium,Regression,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00050,ServiceNow,Cloud Management,Infrastructure,Event -> Noise Reduction -> Incident Creation -> Resolution,Functional,Reject Infrastructure ServiceNow Cloud Management,User has ServiceNow access and Infrastructure test data exists,"1. Open Cloud Management.
2. Execute: Event -> Noise Reduction -> Incident Creation -> Resolution.
3. Perform validation and confirm outcome.","Event -> Noise Reduction -> Incident Creation -> Resolution completes with correct state, audit trail, and notifications",Low,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00051,ServiceNow,Cloud Management,Infrastructure,Service Mapping -> Dependency -> Impact Analysis,Integration,Close Infrastructure ServiceNow Cloud Management,User has ServiceNow access and Infrastructure test data exists,"1. Open Cloud Management.
2. Execute: Service Mapping -> Dependency -> Impact Analysis.
3. Perform validation and confirm outcome.","Service Mapping -> Dependency -> Impact Analysis completes with correct state, audit trail, and notifications",High,Functional,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
SN-ITOM-00052,ServiceNow,Cloud Management,CloudOps,Discovery -> CI Update -> Event Correlation -> Alert,Functional,Search CloudOps ServiceNow Cloud Management,User has ServiceNow access and CloudOps test data exists,"1. Open Cloud Management.
2. Execute: Discovery -> CI Update -> Event Correlation -> Alert.
3. Perform validation and confirm outcome.","Discovery -> CI Update -> Event Correlation -> Alert completes with correct state, audit trail, and notifications",Low,Security,"{""caller"": ""John Doe"", ""priority"": ""2"", ""category"": ""Software"", ""assignment_group"": ""Service Desk""}"
