Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-MA-00019,Marketing,Journey Builder,Manufacturing,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Regression,Export Manufacturing Marketing Journey Builder,User has Marketing access and Manufacturing data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Export and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Mobile
SF-MA-00020,Marketing,Journey Builder,Manufacturing,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Performance,Bulk Edit Manufacturing Marketing Journey Builder,User has Marketing access and Manufacturing data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Bulk Edit and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Mobile
SF-MA-00021,Marketing,Journey Builder,Manufacturing,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Functional,Clone Manufacturing Marketing Journey Builder,User has Marketing access and Manufacturing data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Clone and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Low,Accessibility
SF-MA-00022,Marketing,Journey Builder,Manufacturing,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Functional,Reject Manufacturing Marketing Journey Builder,User has Marketing access and Manufacturing data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Reject and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Low,Functional
SF-MA-00023,Marketing,Journey Builder,Manufacturing,Consent Capture -> Segment -> Journey -> Send -> Response,Performance,Edit Manufacturing Marketing Journey Builder,User has Marketing access and Manufacturing data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Edit and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,Regression
SF-MA-00024,Marketing,Journey Builder,Manufacturing,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Archive Manufacturing Marketing Journey Builder,User has Marketing access and Manufacturing data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Archive and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Low,Security
SF-MA-00025,Marketing,Journey Builder,Education,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Regression,Delete Education Marketing Journey Builder,User has Marketing access and Education data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Delete and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Low,UI
SF-MA-00026,Marketing,Journey Builder,Education,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Security,Archive Education Marketing Journey Builder,User has Marketing access and Education data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Archive and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Low,Functional
SF-MA-00027,Marketing,Journey Builder,Education,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Mobile,Clone Education Marketing Journey Builder,User has Marketing access and Education data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Clone and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,Performance
SF-MA-00028,Marketing,Journey Builder,Education,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Accessibility,Update Education Marketing Journey Builder,User has Marketing access and Education data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Update and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,Mobile
SF-MA-00029,Marketing,Journey Builder,Education,Consent Capture -> Segment -> Journey -> Send -> Response,Integration,Archive Education Marketing Journey Builder,User has Marketing access and Education data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Archive and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Low,Accessibility
SF-MA-00030,Marketing,Journey Builder,Education,Consent Capture -> Segment -> Journey -> Send -> Response,Mobile,Search Education Marketing Journey Builder,User has Marketing access and Education data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Search and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,UI
SF-MA-00031,Marketing,Journey Builder,Nonprofit,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Mobile,Edit Nonprofit Marketing Journey Builder,User has Marketing access and Nonprofit data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Edit and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Integration
SF-MA-00032,Marketing,Journey Builder,Nonprofit,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Performance,Clone Nonprofit Marketing Journey Builder,User has Marketing access and Nonprofit data is configured,"1. Navigate to Journey Builder.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Clone and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Functional
SF-MA-00033,Marketing,Journey Builder,Nonprofit,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Security,Reject Nonprofit Marketing Journey Builder,User has Marketing access and Nonprofit data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Reject and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,UI
SF-MA-00034,Marketing,Journey Builder,Nonprofit,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Regression,Search Nonprofit Marketing Journey Builder,User has Marketing access and Nonprofit data is configured,"1. Navigate to Journey Builder.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Search and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Low,Security
SF-MA-00035,Marketing,Journey Builder,Nonprofit,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Edit Nonprofit Marketing Journey Builder,User has Marketing access and Nonprofit data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Edit and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Low,Integration
SF-MA-00036,Marketing,Journey Builder,Nonprofit,Consent Capture -> Segment -> Journey -> Send -> Response,Regression,Update Nonprofit Marketing Journey Builder,User has Marketing access and Nonprofit data is configured,"1. Navigate to Journey Builder.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Update and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,UI
SF-MA-00037,Marketing,Email Studio,Retail,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,UI,Create Retail Marketing Email Studio,User has Marketing access and Retail data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Create and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Performance
SF-MA-00038,Marketing,Email Studio,Retail,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Regression,Approve Retail Marketing Email Studio,User has Marketing access and Retail data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Approve and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Mobile
SF-MA-00039,Marketing,Email Studio,Retail,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Regression,Restore Retail Marketing Email Studio,User has Marketing access and Retail data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Restore and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,High,Security
SF-MA-00040,Marketing,Email Studio,Retail,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Security,Approve Retail Marketing Email Studio,User has Marketing access and Retail data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Approve and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,Accessibility
SF-MA-00041,Marketing,Email Studio,Retail,Consent Capture -> Segment -> Journey -> Send -> Response,Security,Edit Retail Marketing Email Studio,User has Marketing access and Retail data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Edit and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Low,Mobile
SF-MA-00042,Marketing,Email Studio,Retail,Consent Capture -> Segment -> Journey -> Send -> Response,Integration,Bulk Edit Retail Marketing Email Studio,User has Marketing access and Retail data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Bulk Edit and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,Integration
SF-MA-00043,Marketing,Email Studio,Healthcare,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Mobile,Validate Healthcare Marketing Email Studio,User has Marketing access and Healthcare data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Validate and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Accessibility
SF-MA-00044,Marketing,Email Studio,Healthcare,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Regression,Delete Healthcare Marketing Email Studio,User has Marketing access and Healthcare data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Delete and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Regression
SF-MA-00045,Marketing,Email Studio,Healthcare,Cart Abandon -> Journey -> SMS -> Conversion -> Case,UI,Sync Healthcare Marketing Email Studio,User has Marketing access and Healthcare data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Sync and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,High,UI
SF-MA-00046,Marketing,Email Studio,Healthcare,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Accessibility,Update Healthcare Marketing Email Studio,User has Marketing access and Healthcare data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Update and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,High,UI
SF-MA-00047,Marketing,Email Studio,Healthcare,Consent Capture -> Segment -> Journey -> Send -> Response,Performance,Reject Healthcare Marketing Email Studio,User has Marketing access and Healthcare data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Reject and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,Performance
SF-MA-00048,Marketing,Email Studio,Healthcare,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Restore Healthcare Marketing Email Studio,User has Marketing access and Healthcare data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Restore and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,Security
SF-MA-00049,Marketing,Email Studio,Financial Services,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Performance,Delete Financial Services Marketing Email Studio,User has Marketing access and Financial Services data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Delete and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Low,Accessibility
SF-MA-00050,Marketing,Email Studio,Financial Services,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Functional,Sync Financial Services Marketing Email Studio,User has Marketing access and Financial Services data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Sync and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,High,Accessibility
SF-MA-00051,Marketing,Email Studio,Financial Services,Cart Abandon -> Journey -> SMS -> Conversion -> Case,UI,Approve Financial Services Marketing Email Studio,User has Marketing access and Financial Services data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Approve and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,High,Performance
SF-MA-00052,Marketing,Email Studio,Financial Services,Cart Abandon -> Journey -> SMS -> Conversion -> Case,UI,View Financial Services Marketing Email Studio,User has Marketing access and Financial Services data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform View and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Low,Accessibility
SF-MA-00053,Marketing,Email Studio,Financial Services,Consent Capture -> Segment -> Journey -> Send -> Response,Accessibility,Delete Financial Services Marketing Email Studio,User has Marketing access and Financial Services data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Delete and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,Mobile
SF-MA-00054,Marketing,Email Studio,Financial Services,Consent Capture -> Segment -> Journey -> Send -> Response,Performance,Bulk Edit Financial Services Marketing Email Studio,User has Marketing access and Financial Services data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Bulk Edit and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,High,Mobile
SF-MA-00055,Marketing,Email Studio,Manufacturing,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Accessibility,View Manufacturing Marketing Email Studio,User has Marketing access and Manufacturing data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform View and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Performance
SF-MA-00056,Marketing,Email Studio,Manufacturing,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Mobile,Delete Manufacturing Marketing Email Studio,User has Marketing access and Manufacturing data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Delete and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Regression
SF-MA-00057,Marketing,Email Studio,Manufacturing,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Integration,Archive Manufacturing Marketing Email Studio,User has Marketing access and Manufacturing data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Archive and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,High,Accessibility
SF-MA-00058,Marketing,Email Studio,Manufacturing,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Mobile,Clone Manufacturing Marketing Email Studio,User has Marketing access and Manufacturing data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Clone and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,Integration
SF-MA-00059,Marketing,Email Studio,Manufacturing,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Close Manufacturing Marketing Email Studio,User has Marketing access and Manufacturing data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Close and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,Regression
SF-MA-00060,Marketing,Email Studio,Manufacturing,Consent Capture -> Segment -> Journey -> Send -> Response,Functional,Submit Manufacturing Marketing Email Studio,User has Marketing access and Manufacturing data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Submit and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,UI
SF-MA-00061,Marketing,Email Studio,Education,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Mobile,Edit Education Marketing Email Studio,User has Marketing access and Education data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Edit and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Regression
SF-MA-00062,Marketing,Email Studio,Education,Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead,Mobile,Delete Education Marketing Email Studio,User has Marketing access and Education data is configured,"1. Navigate to Email Studio.
2. Execute: Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead.
3. Perform Delete and verify results.",Visit -> Form Fill -> Lead -> Journey -> Email -> Sales Lead completes successfully with audit trail and validation,Medium,Mobile
SF-MA-00063,Marketing,Email Studio,Education,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Performance,Delete Education Marketing Email Studio,User has Marketing access and Education data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Delete and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,High,Functional
SF-MA-00064,Marketing,Email Studio,Education,Cart Abandon -> Journey -> SMS -> Conversion -> Case,Functional,Create Education Marketing Email Studio,User has Marketing access and Education data is configured,"1. Navigate to Email Studio.
2. Execute: Cart Abandon -> Journey -> SMS -> Conversion -> Case.
3. Perform Create and verify results.",Cart Abandon -> Journey -> SMS -> Conversion -> Case completes successfully with audit trail and validation,Medium,Integration
SF-MA-00065,Marketing,Email Studio,Education,Consent Capture -> Segment -> Journey -> Send -> Response,Mobile,Sync Education Marketing Email Studio,User has Marketing access and Education data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Sync and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Low,Mobile
SF-MA-00066,Marketing,Email Studio,Education,Consent Capture -> Segment -> Journey -> Send -> Response,Integration,Reassign Education Marketing Email Studio,User has Marketing access and Education data is configured,"1. Navigate to Email Studio.
2. Execute: Consent Capture -> Segment -> Journey -> Send -> Response.
3. Perform Reassign and verify results.",Consent Capture -> Segment -> Journey -> Send -> Response completes successfully with audit trail and validation,Medium,Regression
